slide_number,slide_title,image_filename,prompt,format_notes
1,Title,"2514_D3_S01_title.png","Professional nursing education banner. A clean medical illustration of a fetal monitor strip showing contractions, with an umbilical cord and a surgical instrument, representing labor dystocia and emergencies. Soft blue gradient. No text. High contrast.","PNG, 800x400px, <200KB, ADA: high-contrast, no text"
2,How to Use This Deck,"2514_D3_S02_legend.png","A simple color-coded legend icon: three small squares side by side colored red, blue, and tan, with a subtle table grid behind them. Clean white background. No text. Color-blind friendly.","PNG, 800x400px, <200KB, ADA: distinct luminance, no text"
3,Learning Objectives,"2514_D3_S03_objectives.png","A minimalist medical education icon: a target with a graduation cap silhouette in the center, soft teal gradient background. No text. High contrast.","PNG, 800x400px, <200KB, ADA: high-contrast, no text"
4,Dystocia 5 Ps,"2514_D3_S04_dystocia.png","Medical diagram of a fetus in the birth canal with five labeled factors: uterine contractions (Power), fetal position (Passenger), pelvic bones (Passage), maternal position (Position), and a brain icon (Psyche). Clean anatomical illustration. High contrast. White background.","PNG, 800x600px, <200KB, ADA: high-contrast, large labels"
5,Hypertonic vs Hypotonic,"2514_D3_S05_hypertonic.png","A clean medical diagram of a fetal monitor strip comparing two patterns: one showing uncoordinated, frequent contractions (hypertonic) and one showing weak, infrequent contractions (hypotonic). Professional monitoring style. High contrast. White background.","PNG, 800x500px, <200KB, ADA: high-contrast, large labels"
6,Shoulder Dystocia,"2514_D3_S06_shoulder.png","Medical diagram of shoulder dystocia: a fetal head delivered but the shoulders wedged behind the maternal pubic bone, with hands showing the McRoberts maneuver and suprapubic pressure. Clean anatomical illustration. High contrast. White background.","PNG, 800x600px, <200KB, ADA: high-contrast, large labels"
7,Take Note No Fundal Pressure,"2514_D3_S07_fundal.png","A medical warning illustration: a red X over hands pushing on the uterine fundus, with a green checkmark over hands performing suprapubic pressure. Professional style. High contrast. White background.","PNG, 800x500px, <200KB, ADA: high-contrast, large labels"
8,Induction vs Augmentation,"2514_D3_S08_induction.png","A clean medical illustration of a clock and a calendar representing induction (starting labor) and augmentation (enhancing ongoing labor). Professional style. High contrast. White background. No text.","PNG, 800x400px, <200KB, ADA: high-contrast, no text"
9,Bishop Score,"2514_D3_S09_bishop.png","A clean medical diagram of a cervix with labeled parameters: dilation, effacement, station, consistency, and position, each with a score indicator. Professional anatomical style. High contrast. White background.","PNG, 800x600px, <200KB, ADA: high-contrast, large labels"
10,Oxytocin Nursing,"2514_D3_S10_oxytocin.png","A clean medical illustration of an IV infusion pump with oxytocin, a fetal monitor strip, and a contraction monitor. Professional style. High contrast. No text.","PNG, 800x500px, <200KB, ADA: high-contrast, no text"
11,Take Note Resting Tone,"2514_D3_S11_resting-tone.png","A medical diagram of a fetal monitor strip showing tachysystole: more than 5 contractions in 10 minutes, with a warning icon. Professional monitoring style. High contrast. White background.","PNG, 800x500px, <200KB, ADA: high-contrast, large labels"
12,Cord Prolapse,"2514_D3_S12_cord-prolapse.png","Medical diagram of umbilical cord prolapse: the cord slipping ahead of the presenting fetal part through the cervix, with a compressed cord segment. Clean anatomical illustration. High contrast. White background.","PNG, 800x600px, <200KB, ADA: high-contrast, large labels"
13,Cord Prolapse Response,"2514_D3_S13_cord-response.png","Medical illustration of cord prolapse emergency response: a gloved hand pushing the presenting part off the cord, with the patient in knee-chest position. Professional style. High contrast. White background.","PNG, 800x600px, <200KB, ADA: high-contrast, large labels"
14,Uterine Rupture TOLAC,"2514_D3_S14_rupture.png","Medical diagram of uterine rupture: a tear in the uterine wall at the previous cesarean scar, with the fetus extruding and blood loss. Clean anatomical illustration. High contrast. White background.","PNG, 800x600px, <200KB, ADA: high-contrast, large labels"
15,Rupture Emergency Actions,"2514_D3_S15_rupture-actions.png","A clean medical illustration of emergency cesarean preparation: surgical instruments, IV bags, and a stopped oxytocin infusion. Professional style. High contrast. No text.","PNG, 800x400px, <200KB, ADA: high-contrast, no text"
16,Key Terms Labor,"2514_D3_S16_terms-labor.png","A clean medical illustration of a glossary icon: a book with a bookmark and alphabet letter. Soft blue background. High contrast. No text.","PNG, 800x400px, <200KB, ADA: high-contrast, no text"
17,NGN Case Failed Induction,"2514_D3_S17_case-induction.png","A professional illustration of a labor patient with an oxytocin infusion and a fetal monitor showing tachysystole. Professional style. High contrast. No text.","PNG, 800x500px, <200KB, ADA: high-contrast, no text"
18,Case Induction Actions,"2514_D3_S18_case-induction-actions.png","A clean medical illustration of intervention steps: stopping oxytocin, repositioning the patient, and giving IV fluids. Professional style. High contrast. No text.","PNG, 800x400px, <200KB, ADA: high-contrast, no text"
19,NGN Case Cord Prolapse,"2514_D3_S19_case-cord.png","A professional illustration of an emergency: a nurse's hand elevating the presenting part, with the patient in Trendelenburg position. Professional style. High contrast. No text.","PNG, 800x500px, <200KB, ADA: high-contrast, no text"
20,Self-Check Q1,"2514_D3_S20_q1.png","A subtle medical background with a faint question mark overlaid on a soft gradient. Professional blue tones. High contrast. No text.","PNG, 800x400px, <200KB, ADA: high-contrast, no text"
21,Self-Check Q2,"2514_D3_S21_q2.png","Same as Q1.","PNG, 800x400px, <200KB, ADA: high-contrast, no text"
22,Self-Check Q3,"2514_D3_S22_q3.png","Same as Q1.","PNG, 800x400px, <200KB, ADA: high-contrast, no text"
23,Self-Check Q4,"2514_D3_S23_q4.png","Same as Q1.","PNG, 800x400px, <200KB, ADA: high-contrast, no text"
24,Self-Check Q5,"2514_D3_S24_q5.png","Same as Q1.","PNG, 800x400px, <200KB, ADA: high-contrast, no text"
25,Self-Check Q6,"2514_D3_S25_q6.png","Same as Q1.","PNG, 800x400px, <200KB, ADA: high-contrast, no text"
26,Exit Ticket,"2514_D3_S26_exit.png","A clean exit icon: a door with a checkmark, medical-themed. Soft green and blue gradient. High contrast. No text.","PNG, 800x400px, <200KB, ADA: high-contrast, no text"
27,Answer Key Q1-Q3,"2514_D3_S27_answers1.png","A clean answer key icon: a checkmark inside a circle, with a subtle medical cross. Soft green tones. High contrast. No text.","PNG, 800x400px, <200KB, ADA: high-contrast, no text"
28,Answer Key Q4-Q6,"2514_D3_S28_answers2.png","Same as answer key 1.","PNG, 800x400px, <200KB, ADA: high-contrast, no text"
29,Quick Recall Part 1,"2514_D3_S29_recall1.png","A clean memory icon: a brain silhouette with a subtle lightning bolt. Soft gold and blue gradient. High contrast. No text.","PNG, 800x400px, <200KB, ADA: high-contrast, no text"
30,Quick Recall Part 2,"2514_D3_S30_recall2.png","Same as recall part 1.","PNG, 800x400px, <200KB, ADA: high-contrast, no text"
31,References,"2514_D3_S31_references.png","A clean books icon: a stack of medical textbooks with a bookmark. Professional academic style. Soft blue gradient. High contrast. No text.","PNG, 800x400px, <200KB, ADA: high-contrast, no text"
