slide_number,slide_title,image_filename,prompt,format_notes
1,Title,"1523_D4_S01_title.png","Professional nursing education banner. A clean medical illustration of an ultrasound probe and monitor showing a fetal image, overlaid with a DNA helix. Soft blue gradient. No text. High contrast.","PNG, 800x400px, <200KB, ADA: high-contrast, no text"
2,How to Use This Deck,"1523_D4_S02_legend.png","A simple color-coded legend icon: three small squares side by side colored red, blue, and tan, with a subtle table grid behind them. Clean white background. No text. Color-blind friendly.","PNG, 800x400px, <200KB, ADA: distinct luminance, no text"
3,Learning Objectives,"1523_D4_S03_objectives.png","A minimalist medical education icon: a target with a graduation cap silhouette in the center, soft teal gradient background. No text. High contrast.","PNG, 800x400px, <200KB, ADA: high-contrast, no text"
4,Screening vs Diagnostic,"1523_D4_S04_screening.png","A clean medical illustration comparing two test tubes: one labeled screening with a magnifying glass, and one labeled diagnostic with a checkmark. Professional blue and green tones. High contrast. White background.","PNG, 800x500px, <200KB, ADA: high-contrast, large labels"
5,Take Note Screening Not Diagnosis,"1523_D4_S05_screen-note.png","A clean medical note icon: a clipboard with a lightbulb and a warning triangle. Professional gold and blue tones. High contrast. No text.","PNG, 800x400px, <200KB, ADA: high-contrast, no text"
6,Prenatal Screening Tests Part 1,"1523_D4_S06_screens1.png","A clean medical illustration of blood collection tubes and a patient arm with a tourniquet, representing initial prenatal labs. Professional style. High contrast. No text.","PNG, 800x500px, <200KB, ADA: high-contrast, no text"
7,Prenatal Screening Tests Part 2,"1523_D4_S07_screens2.png","A clean medical illustration of a blood draw for screening: a needle and vacutainer with subtle chromosome icons. Professional style. High contrast. No text.","PNG, 800x500px, <200KB, ADA: high-contrast, no text"
8,MSAFP and Quad Screen,"1523_D4_S08_msafp.png","A clean medical illustration of a blood sample tube with a subtle fetal spine and neural tube icon, representing MSAFP screening. Professional style. High contrast. No text.","PNG, 800x500px, <200KB, ADA: high-contrast, no text"
9,cfDNA and Nuchal Translucency,"1523_D4_S09_cfdna.png","A clean medical illustration of an ultrasound image showing fetal nuchal translucency measurement with calipers, and a maternal blood sample. Professional medical imaging style. High contrast.","PNG, 800x600px, <200KB, ADA: high-contrast, large labels"
10,Diagnostic Tests Overview,"1523_D4_S10_diagnostic.png","A clean medical illustration of diagnostic tools: an ultrasound probe, an amniocentesis needle, and a fetal monitor. Professional style. High contrast. White background. No text.","PNG, 800x500px, <200KB, ADA: high-contrast, no text"
