slide_number,slide_title,image_filename,prompt,format_notes
1,Title,"2514_D2_S01_title.png","Professional nursing education banner. A clean medical illustration of a blood pressure cuff with a subtle fetal monitor strip and a glucose meter, representing hypertensive disorders and diabetes. Soft blue gradient. No text. High contrast.","PNG, 800x400px, <200KB, ADA: high-contrast, no text"
2,How to Use This Deck,"2514_D2_S02_legend.png","A simple color-coded legend icon: three small squares side by side colored red, blue, and tan, with a subtle table grid behind them. Clean white background. No text. Color-blind friendly.","PNG, 800x400px, <200KB, ADA: distinct luminance, no text"
3,Learning Objectives,"2514_D2_S03_objectives.png","A minimalist medical education icon: a target with a graduation cap silhouette in the center, soft teal gradient background. No text. High contrast.","PNG, 800x400px, <200KB, ADA: high-contrast, no text"
4,Hypertensive Spectrum,"2514_D2_S04_hypertension.png","A clean medical illustration of a blood pressure monitor showing an elevated reading, with a subtle pregnant silhouette. Professional medical style. High contrast. No text.","PNG, 800x500px, <200KB, ADA: high-contrast, no text"
5,Preeclampsia Severity,"2514_D2_S05_preeclampsia.png","Medical illustration of a pregnant woman with preeclampsia signs: headache, visual changes, epigastric pain, and edema of the hands and face. Professional style. High contrast. No text.","PNG, 800x600px, <200KB, ADA: high-contrast, no text"
6,Magnesium Sulfate,"2514_D2_S06_magnesium.png","A clean medical illustration of an IV infusion bag labeled magnesium sulfate, with a reflex hammer and a respiratory monitor. Professional style. High contrast. White background. No text.","PNG, 800x500px, <200KB, ADA: high-contrast, no text"
7,Take Note Mag Toxicity,"2514_D2_S07_mag-toxicity.png","A medical warning illustration: a sequence showing loss of reflexes, respiratory depression, and a calcium gluconate antidote vial. Professional style. High contrast. White background.","PNG, 800x500px, <200KB, ADA: high-contrast, large labels"
8,HELLP Syndrome,"2514_D2_S08_hellp.png","Medical diagram of HELLP syndrome: a liver with elevated enzymes, red blood cells showing hemolysis, and a low platelet count icon. Clean pathological illustration. High contrast. White background.","PNG, 800x500px, <200KB, ADA: high-contrast, large labels"
9,GDM Overview,"2514_D2_S09_gdm.png","A clean medical illustration of a glucose meter with a test strip and a lancet, with a subtle pregnant silhouette. Professional style. High contrast. No text.","PNG, 800x500px, <200KB, ADA: high-contrast, no text"
10,GDM Screening and Targets,"2514_D2_S10_gdm-screening.png","A clean medical illustration of a glucose tolerance test: a 75g glucose drink and a blood draw at timed intervals. Professional style. High contrast. White background.","PNG, 800x500px, <200KB, ADA: high-contrast, large labels"
