slide_number,slide_title,image_filename,prompt,format_notes
1,Title,"1523_D1_S01_title.png","Professional nursing education banner. A clean medical illustration of a stethoscope draped over a maternal health textbook, soft blue gradient background. No text on the image. High contrast, color-blind friendly palette (blues and whites). Professional healthcare setting.","PNG, 800x400px, <200KB, ADA: high-contrast, no text"
2,How to Use This Deck,"1523_D1_S02_legend.png","A simple color-coded legend icon: three small squares side by side colored red, blue, and tan, with a subtle table grid behind them. Clean white background. No text on the image. Color-blind friendly with distinct luminance levels.","PNG, 800x400px, <200KB, ADA: distinct luminance, no text"
3,Learning Objectives,"1523_D1_S03_objectives.png","A minimalist medical education icon: a target or bullseye with a graduation cap silhouette in the center, soft teal gradient background. No text. High contrast.","PNG, 800x400px, <200KB, ADA: high-contrast, no text"
4,Menstrual Cycle Overview,"1523_D1_S04_menstrual-cycle.png","Medical diagram of the human menstrual cycle showing the hypothalamic-pituitary-ovarian axis. A clean anatomical illustration of the brain, pituitary gland, and ovaries with arrows showing hormone flow (GnRH, FSH, LH, estrogen, progesterone). High-contrast labels in large sans-serif font. Color-blind friendly: use blue and orange instead of red and green. White background.","PNG, 800x600px, <200KB, ADA: color-blind palette, large labels"
5,Hormone Review,"1523_D1_S05_hormones.png","Medical diagram of menstrual cycle hormone levels over 28 days. A clean line graph showing estradiol, progesterone, LH, and FSH levels across the cycle with ovulation marked at day 14. Each hormone in a distinct color with high-contrast lines. Color-blind friendly palette: blue, orange, purple, dark-gray. White background.","PNG, 800x600px, <200KB, ADA: color-blind palette, distinct line styles"
6,Ovarian Cycle,"1523_D1_S06_ovarian.png","Medical illustration of the ovarian cycle showing follicle development stages: primordial follicle, primary follicle, secondary follicle, Graafian follicle, ovulation, corpus luteum, and corpus albicans. Clean anatomical drawing with clear labels. High-contrast, color-blind friendly (blue-orange). White background.","PNG, 800x600px, <200KB, ADA: large labels, high-contrast"
7,Endometrial Cycle,"1523_D1_S07_endometrial.png","Medical diagram of the uterine endometrial cycle showing the four phases: proliferative, secretory, ischemic, and menstrual. Cross-section of uterine lining with increasing thickness. High-contrast labels, color-blind friendly. Clean white background.","PNG, 800x600px, <200KB, ADA: large labels, high-contrast"
8,Key Cycle Concepts,"1523_D1_S08_cycle-concepts.png","A simple basal body temperature chart showing a 28-day cycle with a clear temperature rise of 0.5-1 degree Fahrenheit at ovulation (day 14). Clean line graph with ovulation marked. Blue and white color scheme. High contrast.","PNG, 800x500px, <200KB, ADA: high-contrast, large axis labels"
9,Dysmenorrhea Overview,"1523_D1_S09_dysmenorrhea.png","Anatomical illustration of the female pelvis showing the uterus, ovaries, and fallopian tubes, with a subtle highlighted area indicating pelvic pain. Clean medical illustration style. High-contrast, color-blind friendly. White background. No text on image.","PNG, 800x600px, <200KB, ADA: high-contrast, no text"
10,Primary vs Secondary,"1523_D1_S10_comparison.png","A side-by-side comparison diagram: two simplified pelvic illustrations, one labeled with a checkmark (normal anatomy) and one with an X (showing fibroids/endometriosis). Clean medical style. High-contrast blue-orange palette. White background.","PNG, 800x600px, <200KB, ADA: distinct shapes, no text"
11,Take Note NSAIDs,"1523_D1_S11_nsaids.png","A clean medical illustration of medication: a blister pack of NSAID tablets with a clock icon showing timing before menses. Soft blue background. High contrast. No text.","PNG, 800x400px, <200KB, ADA: high-contrast, no text"
12,Menopause Definition,"1523_D1_S12_menopause.png","A warm, professional illustration depicting the transition of life stages: a subtle timeline from reproductive years to menopause, with a calendar showing one year passing. Soft purple and blue gradient. High contrast. No text.","PNG, 800x500px, <200KB, ADA: high-contrast, no text"
13,Systemic Effects Part 1,"1523_D1_S13_systemic.png","A medical diagram of the human body silhouette with highlighted systems affected by estrogen decline: brain, heart, bones, and genitourinary system highlighted in blue. Clean anatomical style. High contrast. White background.","PNG, 800x600px, <200KB, ADA: high-contrast, large labels"
14,Systemic Effects Part 2,"1523_D1_S14_integumentary.png","A medical illustration of skin cross-section showing aging changes: thinning dermis, decreased collagen, and wrinkling. Also a body silhouette showing fat redistribution. High contrast. Clean white background.","PNG, 800x500px, <200KB, ADA: high-contrast, large labels"
15,Menopause Management,"1523_D1_S15_management.png","A clean medical illustration of treatment options: a small hormone therapy patch, a calcium supplement bottle, and a dumbbell for exercise. Arranged in a balanced composition. Soft blue background. High contrast. No text.","PNG, 800x400px, <200KB, ADA: high-contrast, no text"
16,Take Note CVD,"1523_D1_S16_cvd.png","A medical illustration of a heart with a subtle female symbol overlay, emphasizing cardiovascular disease in women. Clean anatomical style. High-contrast red and blue tones (color-blind safe). White background. No text.","PNG, 800x500px, <200KB, ADA: color-blind safe, high-contrast"
17,Contraception Overview,"1523_D1_S17_contraception.png","A clean, organized medical illustration showing various contraceptive method icons arranged in a circle: pills, IUD, implant, condom, patch, ring, injection. Each icon distinct and recognizable. High-contrast, color-blind friendly. White background. No text.","PNG, 800x600px, <200KB, ADA: distinct shapes, no text"
18,Behavioral and Barrier Methods,"1523_D1_S18_behavioral.png","A clean medical illustration of barrier contraceptive methods: a male condom, female condom, diaphragm, and cervical cap. Simple line-art style with soft blue shading. High contrast. White background. No text.","PNG, 800x500px, <200KB, ADA: high-contrast, no text"
19,Hormonal Methods Part 1,"1523_D1_S19_hormonal.png","A clean medical illustration of oral contraceptive pills in a blister pack, a transdermal patch, and a vaginal ring. Professional pharmaceutical style. High contrast, soft blue background. No text.","PNG, 800x500px, <200KB, ADA: high-contrast, no text"
20,LARC and Permanent Methods,"1523_D1_S20_larc.png","A clean medical illustration of long-acting reversible contraceptives: an intrauterine device (IUD) in simplified uterine shape, and a subdermal implant in an arm silhouette. Professional medical style. High contrast. White background. No text.","PNG, 800x600px, <200KB, ADA: high-contrast, no text"
21,Emergency Contraception,"1523_D1_S21_emergency.png","A clean medical illustration of emergency contraception: a copper IUD silhouette and a Plan B tablet pack, with a subtle clock icon indicating the 5-day window. Soft blue background. High contrast. No text.","PNG, 800x400px, <200KB, ADA: high-contrast, no text"
22,Take Note Counseling,"1523_D1_S22_counseling.png","A professional nursing illustration: a nurse and patient in consultation, with a subtle heart and speech bubble. Diverse representation. Warm, professional tones. High contrast. No text.","PNG, 800x400px, <200KB, ADA: high-contrast, diverse representation"
23,High-Yield Contraception,"1523_D1_S23_pearls.png","A clean medical illustration of a lightbulb icon with a subtle brain silhouette inside, representing knowledge retention. Soft gold and blue gradient. High contrast. No text.","PNG, 800x400px, <200KB, ADA: high-contrast, no text"
24,Preconception Overview,"1523_D1_S24_preconception.png","A warm, professional illustration of a pregnancy planning concept: a calendar with a heart and a stethoscope. Soft pastel blue and pink tones. High contrast. No text.","PNG, 800x400px, <200KB, ADA: high-contrast, no text"
25,Key Interventions,"1523_D1_S25_folic-acid.png","A clean medical illustration of a prenatal vitamin bottle with folic acid tablets and a small green leaf icon representing health. Soft white background. High contrast. No text.","PNG, 800x400px, <200KB, ADA: high-contrast, no text"
26,Risk Factors Table,"1523_D1_S26_risk-factors.png","A medical illustration of a warning sign with a subtle pregnant silhouette and exclamation mark. Clean, professional style. High-contrast orange and blue tones. No text.","PNG, 800x400px, <200KB, ADA: high-contrast, no text"
27,Inheritance Patterns Part 1,"1523_D1_S27_genetics.png","A clean medical diagram of a pedigree chart showing autosomal dominant inheritance pattern: squares and circles in a family tree with half-filled symbols. High-contrast black and white with blue shading. White background. Large symbols.","PNG, 800x600px, <200KB, ADA: large symbols, high-contrast"
28,Inheritance Patterns Part 2,"1523_D1_S28_multifactorial.png","A clean medical illustration of a DNA double helix with subtle environmental factor icons around it (sun, food, chemical), representing multifactorial inheritance. High-contrast blue and green. White background. No text.","PNG, 800x500px, <200KB, ADA: high-contrast, no text"
29,Take Note Genetic Counseling,"1523_D1_S29_counseling-genetic.png","A professional illustration of a genetic counseling session: a counselor and couple at a table with a DNA helix icon. Diverse representation. Warm, professional tones. High contrast. No text.","PNG, 800x400px, <200KB, ADA: high-contrast, diverse representation"
30,Key Terms Contraception,"1523_D1_S30_terms-contra.png","A clean medical illustration of a glossary icon: a book with a bookmark and an alphabet letter. Soft blue background. High contrast. No text.","PNG, 800x400px, <200KB, ADA: high-contrast, no text"
