slide_number,slide_title,image_filename,prompt,format_notes
1,Title,"1523_D2_S01_title.png","Professional nursing education banner. A clean medical illustration showing a developing fetus silhouette inside a warm maternal outline, soft blue gradient background. No text on the image. High contrast, color-blind friendly.","PNG, 800x400px, <200KB, ADA: high-contrast, no text"
2,How to Use This Deck,"1523_D2_S02_legend.png","A simple color-coded legend icon: three small squares side by side colored red, blue, and tan, with a subtle table grid behind them. Clean white background. No text. Color-blind friendly with distinct luminance levels.","PNG, 800x400px, <200KB, ADA: distinct luminance, no text"
3,Learning Objectives,"1523_D2_S03_objectives.png","A minimalist medical education icon: a target with a graduation cap silhouette in the center, soft teal gradient background. No text. High contrast.","PNG, 800x400px, <200KB, ADA: high-contrast, no text"
4,Fetal Development Timeline,"1523_D2_S04_fetal-development.png","Medical diagram of fetal development timeline: a horizontal bar showing the three stages (preembryonic, embryonic, fetal) with a silhouette of a developing embryo/fetus growing from a single cell to a full-term baby. Clean anatomical style. High-contrast blue tones. White background.","PNG, 800x500px, <200KB, ADA: high-contrast, large labels"
5,Preembryonic Stage,"1523_D2_S05_preembryonic.png","Medical illustration of early human development: a fertilized ovum (zygote) dividing into a morula and then a blastocyst, showing the three germ layers (ectoderm, mesoderm, endoderm). Clean scientific illustration. High-contrast. White background.","PNG, 800x600px, <200KB, ADA: high-contrast, large labels"
6,Embryonic Stage,"1523_D2_S06_embryonic.png","Medical illustration of a human embryo at approximately 6-8 weeks showing developing organs and limb buds. Clean anatomical drawing. High-contrast. White background. Labels in large sans-serif font.","PNG, 800x600px, <200KB, ADA: high-contrast, large labels"
7,Take Note Teratogens,"1523_D2_S07_teratogens.png","A medical warning illustration: a developing embryo silhouette with a caution symbol, surrounded by subtle icons of teratogens (alcohol bottle, cigarette, pill, radiation symbol). High-contrast orange and blue tones. White background. No text on image.","PNG, 800x500px, <200KB, ADA: high-contrast, no text"
8,Fetal Stage,"1523_D2_S08_fetal-stage.png","Medical diagram of fetal circulation showing the three shunts: ductus venosus, ductus arteriosus, and foramen ovale, with oxygenated (red) and deoxygenated (blue) blood flow. Clean anatomical illustration. High-contrast, color-blind friendly. White background.","PNG, 800x600px, <200KB, ADA: color-blind safe, large labels"
9,Signs of Pregnancy Overview,"1523_D2_S09_pregnancy-test.png","A clean medical illustration of a positive pregnancy test with two lines, next to a subtle calendar. Soft blue and pink tones. High contrast. No text on image.","PNG, 800x400px, <200KB, ADA: high-contrast, no text"
10,Presumptive Signs,"1523_D2_S10_presumptive.png","A medical illustration of common pregnancy symptoms: a woman holding her abdomen with subtle icons of nausea, fatigue, and breast tenderness. Clean, professional style. Warm tones. High contrast. No text on image.","PNG, 800x500px, <200KB, ADA: high-contrast, diverse representation"
11,Probable Signs,"1523_D2_S11_probable.png","A medical illustration of a pelvic examination: a healthcare provider's hands with a speculum, and a subtle illustration of the cervix showing Chadwick sign (bluish discoloration). Professional medical style. High contrast. White background.","PNG, 800x500px, <200KB, ADA: high-contrast, no text"
12,Positive Signs,"1523_D2_S12_positive.png","A clean medical illustration of an obstetric ultrasound scan showing a fetal profile. Professional medical imaging style. High-contrast grayscale with blue overlay. No text.","PNG, 800x500px, <200KB, ADA: high-contrast, no text"
13,hCG Interpretation,"1523_D2_S13_hcg.png","A medical diagram showing hCG hormone levels over time: a line graph with a sharp rise, peak at 8-10 weeks, and gradual decline. Clean, professional style. High-contrast blue line. White background.","PNG, 800x500px, <200KB, ADA: high-contrast, large axis labels"
14,GTPAL Overview,"1523_D2_S14_gtpal.png","A clean medical illustration of the GTPAL acronym: a simple obstetric history chart with five columns labeled G, T, P, A, and L, each with a subtle icon (pregnant figure, calendar, baby, etc.). Professional blue tones. High contrast. White background.","PNG, 800x500px, <200KB, ADA: high-contrast, large labels"
15,GTPAL Counting Rules,"1523_D2_S15_gtpal-rules.png","A clean medical illustration of counting rules: a simple visual showing twin babies counting as one birth event but two living children. Professional blue tones. High contrast. White background.","PNG, 800x500px, <200KB, ADA: high-contrast, no text"
16,GTPAL Example 1,"1523_D2_S16_gtpal-ex1.png","A clean medical illustration of a family: one woman with three children silhouettes and a pregnancy icon, representing the GTPAL calculation. Warm professional tones. High contrast. No text.","PNG, 800x400px, <200KB, ADA: high-contrast, no text"
17,GTPAL Example 2,"1523_D2_S17_gtpal-ex2.png","A clean medical illustration of a family with twin babies and a pregnancy icon, representing the GTPAL calculation. Warm professional tones. High contrast. No text.","PNG, 800x400px, <200KB, ADA: high-contrast, no text"
18,GTPAL Example 3,"1523_D2_S18_gtpal-ex3.png","A clean medical illustration of a family with three children and a subtle memorial candle for a deceased child, representing the GTPAL calculation. Warm, respectful tones. High contrast. No text.","PNG, 800x400px, <200KB, ADA: high-contrast, no text"
19,Take Note GTPAL,"1523_D2_S19_gtpal-note.png","A clean medical note icon: a clipboard with a lightbulb, representing an important clinical pearl. Professional gold and blue tones. High contrast. No text.","PNG, 800x400px, <200KB, ADA: high-contrast, no text"
20,Naegele's Rule,"1523_D2_S20_naegele.png","A clean medical illustration of a calendar page showing the calculation: LMP date, minus 3 months, plus 7 days, plus 1 year, with a subtle pregnant silhouette. Professional blue tones. High contrast. White background.","PNG, 800x500px, <200KB, ADA: high-contrast, large labels"
21,EDD Practice,"1523_D2_S21_edd-practice.png","A clean medical illustration of a pregnancy wheel or gestational calculator showing dates. Professional medical style. High contrast. White background. No text on image.","PNG, 800x500px, <200KB, ADA: high-contrast, no text"
22,Take Note Ovulation,"1523_D2_S22_ovulation-note.png","A clean medical diagram of a 28-day cycle wheel with ovulation marked at day 14, and a subtle note icon. Professional blue and gold tones. High contrast. White background.","PNG, 800x500px, <200KB, ADA: high-contrast, large labels"
23,First Prenatal Visit,"1523_D2_S23_prenatal-visit.png","A professional nursing illustration: a pregnant patient with a nurse during a prenatal checkup, with a stethoscope and blood pressure cuff. Diverse representation. Warm, professional tones. High contrast. No text.","PNG, 800x500px, <200KB, ADA: high-contrast, diverse representation"
24,Health History,"1523_D2_S24_history.png","A clean medical illustration of a patient history form with a clipboard and pen. Professional blue tones. High contrast. No text.","PNG, 800x400px, <200KB, ADA: high-contrast, no text"
25,Physical Exam,"1523_D2_S25_physical-exam.png","A professional medical illustration: a healthcare provider performing a physical examination on a pregnant patient. Clean, respectful style. Diverse representation. High contrast. No text.","PNG, 800x500px, <200KB, ADA: high-contrast, diverse representation"
26,Laboratory Tests,"1523_D2_S26_labs.png","A clean medical illustration of laboratory equipment: blood collection tubes, a microscope slide, and a urine sample cup. Professional blue and white tones. High contrast. No text.","PNG, 800x400px, <200KB, ADA: high-contrast, no text"
27,Maternal Adaptations Reproductive,"1523_D2_S27_reproductive.png","Medical diagram of the gravid uterus at different gestational ages showing fundal height landmarks: symphysis pubis, umbilicus, and xiphoid process. Clean anatomical illustration. High contrast. White background.","PNG, 800x600px, <200KB, ADA: high-contrast, large labels"
28,Maternal Adaptations Cardiovascular,"1523_D2_S28_cardiovascular.png","Medical diagram of the human heart with a subtle pregnant silhouette overlay, showing increased cardiac output. Clean anatomical style. High-contrast red and blue tones (color-blind safe). White background.","PNG, 800x500px, <200KB, ADA: color-blind safe, high-contrast"
29,Maternal Adaptations Respiratory and GI,"1523_D2_S29_respiratory-gi.png","Medical illustration of the respiratory and gastrointestinal systems: lungs with elevated diaphragm and stomach with lower esophageal sphincter. Clean anatomical style. High contrast. White background.","PNG, 800x500px, <200KB, ADA: high-contrast, large labels"
30,Maternal Adaptations Renal and Other,"1523_D2_S30_renal.png","Medical illustration of the urinary system: kidneys, ureters, and bladder, with subtle pregnancy-related changes. Clean anatomical style. High contrast. White background.","PNG, 800x500px, <200KB, ADA: high-contrast, large labels"
31,Take Note Supine Hypotension,"1523_D2_S31_supine.png","Medical illustration of a pregnant woman lying on her left side, with an arrow showing the uterus displaced off the inferior vena cava. Clean anatomical style. High contrast. White background. No text.","PNG, 800x500px, <200KB, ADA: high-contrast, no text"
32,Follow-Up Visit Schedule,"1523_D2_S32_schedule.png","A clean medical illustration of a calendar showing increasing visit frequency: every 4 weeks, then every 2 weeks, then every week. Professional blue tones. High contrast. White background.","PNG, 800x500px, <200KB, ADA: high-contrast, large labels"
33,Fundal Height,"1523_D2_S33_fundal-height.png","Medical diagram of a pregnant abdomen showing fundal height measurement with a tape measure and landmarks at 12, 16, 20, 28, 32, and 36 weeks. Clean anatomical illustration. High contrast. White background.","PNG, 800x600px, <200KB, ADA: high-contrast, large labels"
34,Danger Signs,"1523_D2_S34_danger-signs.png","A medical warning illustration: a red triangle with an exclamation mark over a subtle pregnant silhouette. High-contrast red and white tones. No text.","PNG, 800x400px, <200KB, ADA: high-contrast, no text"
35,Take Note Fetal Movement,"1523_D2_S35_fetal-movement.png","A clean medical illustration of a pregnant woman with her hand on her abdomen, and subtle movement lines indicating fetal kicks. Also a hand-held Doppler device. Warm professional tones. High contrast. No text.","PNG, 800x500px, <200KB, ADA: high-contrast, no text"
36,Key Terms OB History,"1523_D2_S36_terms-ob.png","A clean medical illustration of a glossary icon: a book with a bookmark and alphabet letter. Soft blue background. High contrast. No text.","PNG, 800x400px, <200KB, ADA: high-contrast, no text"
37,Key Terms Signs of Pregnancy,"1523_D2_S37_terms-signs.png","A clean medical illustration of a pregnancy test icon with a magnifying glass, representing diagnostic signs. Soft blue tones. High contrast. No text.","PNG, 800x400px, <200KB, ADA: high-contrast, no text"
38,Self-Check Q1,"1523_D2_S38_q1.png","A subtle medical background with a faint question mark overlaid on a soft gradient. Professional blue tones. High contrast. No text.","PNG, 800x400px, <200KB, ADA: high-contrast, no text"
39,Self-Check Q2,"1523_D2_S39_q2.png","Same as Q1 - subtle question mark background.","PNG, 800x400px, <200KB, ADA: high-contrast, no text"
40,Self-Check Q3,"1523_D2_S40_q3.png","Same as Q1 - subtle question mark background.","PNG, 800x400px, <200KB, ADA: high-contrast, no text"
41,Self-Check Q4,"1523_D2_S41_q4.png","Same as Q1 - subtle question mark background.","PNG, 800x400px, <200KB, ADA: high-contrast, no text"
42,Self-Check Q5,"1523_D2_S42_q5.png","Same as Q1 - subtle question mark background.","PNG, 800x400px, <200KB, ADA: high-contrast, no text"
43,Self-Check Q6,"1523_D2_S43_q6.png","Same as Q1 - subtle question mark background.","PNG, 800x400px, <200KB, ADA: high-contrast, no text"
44,Self-Check Q7,"1523_D2_S44_q7.png","Same as Q1 - subtle question mark background.","PNG, 800x400px, <200KB, ADA: high-contrast, no text"
45,Self-Check Q8,"1523_D2_S45_q8.png","Same as Q1 - subtle question mark background.","PNG, 800x400px, <200KB, ADA: high-contrast, no text"
46,Exit Ticket,"1523_D2_S46_exit.png","A clean exit icon: a door with a checkmark, medical-themed. Soft green and blue gradient. High contrast. No text.","PNG, 800x400px, <200KB, ADA: high-contrast, no text"
47,Answer Key Q1-Q4,"1523_D2_S47_answers1.png","A clean answer key icon: a checkmark inside a circle, with a subtle medical cross. Soft green tones. High contrast. No text.","PNG, 800x400px, <200KB, ADA: high-contrast, no text"
48,Answer Key Q5-Q8,"1523_D2_S48_answers2.png","Same as answer key 1 - clean checkmark icon.","PNG, 800x400px, <200KB, ADA: high-contrast, no text"
49,Quick Recall Part 1,"1523_D2_S49_recall1.png","A clean memory icon: a brain silhouette with a subtle lightning bolt. Soft gold and blue gradient. High contrast. No text.","PNG, 800x400px, <200KB, ADA: high-contrast, no text"
50,Quick Recall Part 2,"1523_D2_S50_recall2.png","Same as recall part 1.","PNG, 800x400px, <200KB, ADA: high-contrast, no text"
51,Quick Recall Part 3,"1523_D2_S51_recall3.png","Same as recall part 1.","PNG, 800x400px, <200KB, ADA: high-contrast, no text"
52,References,"1523_D2_S52_references.png","A clean books icon: a stack of medical textbooks with a bookmark. Professional academic style. Soft blue gradient. High contrast. No text.","PNG, 800x400px, <200KB, ADA: high-contrast, no text"
