slide_number,slide_title,image_filename,prompt,format_notes
1,Title,"1523_D3_S01_title.png","Professional nursing education banner. A clean medical illustration of a pregnant woman eating a healthy meal with a stethoscope in the background, representing nutrition and maternal care. Soft blue gradient. No text. High contrast.","PNG, 800x400px, <200KB, ADA: high-contrast, no text"
2,How to Use This Deck,"1523_D3_S02_legend.png","A simple color-coded legend icon: three small squares side by side colored red, blue, and tan, with a subtle table grid behind them. Clean white background. No text. Color-blind friendly with distinct luminance levels.","PNG, 800x400px, <200KB, ADA: distinct luminance, no text"
3,Learning Objectives,"1523_D3_S03_objectives.png","A minimalist medical education icon: a target with a graduation cap silhouette in the center, soft teal gradient background. No text. High contrast.","PNG, 800x400px, <200KB, ADA: high-contrast, no text"
4,Nutritional Needs Overview,"1523_D3_S04_nutrition.png","A clean medical illustration of prenatal vitamins: a bottle of prenatal vitamins with tablets spilling out, alongside a plate of healthy food (fruits, vegetables, whole grains). Professional style. High contrast. No text.","PNG, 800x500px, <200KB, ADA: high-contrast, no text"
5,DRI Table,"1523_D3_S05_dri.png","A clean medical illustration of a nutrition chart: a plate with food groups and subtle nutrient icons (iron, folate, calcium, protein). Professional blue tones. High contrast. White background.","PNG, 800x500px, <200KB, ADA: high-contrast, no text"
6,Weight Gain by BMI,"1523_D3_S06_weight-gain.png","A clean medical illustration of a scale with a pregnant silhouette, showing weight gain categories. Professional blue tones. High contrast. White background. No text.","PNG, 800x500px, <200KB, ADA: high-contrast, no text"
7,Food Safety,"1523_D3_S07_food-safety.png","A clean medical illustration of food safety: a plate with a red X over high-mercury fish (shark, swordfish) and a green checkmark over low-mercury fish (salmon, shrimp). Professional style. High contrast. White background.","PNG, 800x500px, <200KB, ADA: high-contrast, no text"
8,Special Considerations,"1523_D3_S08_pica.png","A clean medical illustration of non-food items: dirt, ice cubes, and laundry starch, with a subtle warning icon. Non-judgmental, professional style. High contrast. White background. No text.","PNG, 800x400px, <200KB, ADA: high-contrast, no text"
9,Take Note Dieting,"1523_D3_S09_dieting.png","A clean medical warning icon: a scale with a red X over it, and a pregnant silhouette. Professional red and blue tones. High contrast. No text.","PNG, 800x400px, <200KB, ADA: high-contrast, no text"
10,Discomforts Overview,"1523_D3_S10_discomforts.png","A clean medical illustration of a pregnant woman holding her lower back, representing common pregnancy discomforts. Professional, empathetic style. Warm tones. High contrast. No text.","PNG, 800x500px, <200KB, ADA: high-contrast, no text"
11,First-Trimester Discomforts,"1523_D3_S11_first-tri.png","A clean medical illustration of first-trimester symptoms: a woman with subtle nausea, breast tenderness, and fatigue icons. Professional, empathetic style. Warm tones. High contrast. No text.","PNG, 800x500px, <200KB, ADA: high-contrast, no text"
12,Second/Third-Trimester Discomforts,"1523_D3_S12_late-tri.png","A clean medical illustration of later pregnancy discomforts: a woman with back pain, heartburn, and leg cramps icons. Professional, empathetic style. Warm tones. High contrast. No text.","PNG, 800x500px, <200KB, ADA: high-contrast, no text"
13,Nausea Management,"1523_D3_S13_nausea.png","A clean medical illustration of nausea remedies: dry crackers, ginger tea, and vitamin B6 tablets. Professional style. Soft warm tones. High contrast. No text.","PNG, 800x400px, <200KB, ADA: high-contrast, no text"
14,Take Note Hyperemesis,"1523_D3_S14_hyperemesis.png","A medical warning illustration: a pregnant woman with severe vomiting, IV fluids, and a weight scale showing loss. Professional, serious tone. High contrast. No text.","PNG, 800x500px, <200KB, ADA: high-contrast, no text"
15,Normal vs Warning Signs,"1523_D3_S15_warning.png","A medical illustration of a split screen: left side showing a calm woman (normal discomfort), right side showing a concerned woman with warning signs. Professional style. High contrast. No text.","PNG, 800x500px, <200KB, ADA: high-contrast, no text"
16,Warning Signs Table,"1523_D3_S16_warning-table.png","A medical warning illustration: a stop sign with a subtle pregnant silhouette, representing danger signs. Professional red and white tones. High contrast. No text.","PNG, 800x400px, <200KB, ADA: high-contrast, no text"
17,Edema Normal vs Danger,"1523_D3_S17_edema.png","A medical illustration comparing two legs: one with mild ankle swelling marked normal, one with severe facial/hand swelling marked danger. Professional style. High contrast. White background.","PNG, 800x500px, <200KB, ADA: high-contrast, large labels"
18,Medications PLLR,"1523_D3_S18_pllr.png","A clean medical illustration of an FDA medication label with narrative sections: Pregnancy, Lactation, Reproductive Potential. Professional pharmaceutical style. High contrast. White background.","PNG, 800x500px, <200KB, ADA: high-contrast, large labels"
19,Safe Medications,"1523_D3_S19_safe-meds.png","A clean medical illustration of safe pregnancy medications: acetaminophen, prenatal vitamins, calcium carbonate, and Diclégis. Professional pharmaceutical style. High contrast. White background. No text.","PNG, 800x500px, <200KB, ADA: high-contrast, no text"
20,NSAIDs in Pregnancy,"1523_D3_S20_nsaids.png","A medical warning illustration: an ibuprofen bottle with a red X over it and a pregnant silhouette. Professional red and white tones. High contrast. No text.","PNG, 800x400px, <200KB, ADA: high-contrast, no text"
21,Immunizations,"1523_D3_S21_vaccines.png","A clean medical illustration of a syringe and vaccine vial with a subtle shield icon, representing immunization protection. Professional blue tones. High contrast. No text.","PNG, 800x400px, <200KB, ADA: high-contrast, no text"
22,Take Note Tdap,"1523_D3_S22_tdap.png","A clean medical illustration of a Tdap vaccine syringe with a calendar showing 27-36 weeks. Professional blue tones. High contrast. White background.","PNG, 800x400px, <200KB, ADA: high-contrast, large labels"
23,Substances to Avoid,"1523_D3_S23_substances.png","A medical warning illustration: a pregnant silhouette with red X marks over icons of alcohol, cigarettes, cannabis, and opioids. Professional style. High contrast. White background. No text.","PNG, 800x500px, <200KB, ADA: high-contrast, no text"
24,Breast Care,"1523_D3_S24_breast-care.png","A clean medical illustration of breast care: a supportive bra and gentle washing with water only. Professional, respectful style. Warm tones. High contrast. No text.","PNG, 800x400px, <200KB, ADA: high-contrast, no text"
25,Self-Care and Exercise,"1523_D3_S25_exercise.png","A clean medical illustration of a pregnant woman walking and doing gentle exercise, with a subtle clock showing 150 minutes. Professional, active style. High contrast. No text.","PNG, 800x500px, <200KB, ADA: high-contrast, no text"
26,Psychosocial Adaptations,"1523_D3_S26_psychosocial.png","A professional illustration of a pregnant woman with varying emotional expressions: ambivalence, acceptance, and mood changes. Sensitive, empathetic style. Warm tones. High contrast. No text.","PNG, 800x500px, <200KB, ADA: high-contrast, diverse representation"
27,Rubin's Maternal Tasks,"1523_D3_S27_rubins.png","A clean medical illustration of maternal bonding: a mother holding her abdomen then holding an infant, representing the progression of Rubin's tasks. Warm, professional style. High contrast. No text.","PNG, 800x500px, <200KB, ADA: high-contrast, diverse representation"
28,Take Note Perinatal Depression,"1523_D3_S28_depression.png","A sensitive, professional illustration of mental health in pregnancy: a woman with a supportive healthcare provider, with a subtle Edinburgh scale questionnaire. Empathetic tones. High contrast. No text.","PNG, 800x400px, <200KB, ADA: high-contrast, diverse representation"
29,Key Terms Nutrition and Meds,"1523_D3_S29_terms-nutrition.png","A clean medical illustration of a glossary icon: a book with a bookmark and alphabet letter. Soft blue background. High contrast. No text.","PNG, 800x400px, <200KB, ADA: high-contrast, no text"
30,NGN Case Warning-Sign Triage,"1523_D3_S30_case-triage.png","A professional illustration of a nurse on a phone call with a concerned pregnant patient, with a triage clipboard. Professional style. High contrast. No text.","PNG, 800x400px, <200KB, ADA: high-contrast, no text"
31,Case Analyze Cues,"1523_D3_S31_case-analyze.png","A clean medical illustration of a magnifying glass over a patient chart, representing clinical analysis. Professional blue tones. High contrast. No text.","PNG, 800x400px, <200KB, ADA: high-contrast, no text"
32,Case Priority Actions,"1523_D3_S32_case-actions.png","A clean medical illustration of a priority list with checkmarks and a stethoscope. Professional style. High contrast. No text.","PNG, 800x400px, <200KB, ADA: high-contrast, no text"
33,Self-Check Q1,"1523_D3_S33_q1.png","A subtle medical background with a faint question mark overlaid on a soft gradient. Professional blue tones. High contrast. No text.","PNG, 800x400px, <200KB, ADA: high-contrast, no text"
34,Self-Check Q2,"1523_D3_S34_q2.png","Same as Q1.","PNG, 800x400px, <200KB, ADA: high-contrast, no text"
35,Self-Check Q3,"1523_D3_S35_q3.png","Same as Q1.","PNG, 800x400px, <200KB, ADA: high-contrast, no text"
36,Self-Check Q4,"1523_D3_S36_q4.png","Same as Q1.","PNG, 800x400px, <200KB, ADA: high-contrast, no text"
37,Self-Check Q5,"1523_D3_S37_q5.png","Same as Q1.","PNG, 800x400px, <200KB, ADA: high-contrast, no text"
38,Self-Check Q6,"1523_D3_S38_q6.png","Same as Q1.","PNG, 800x400px, <200KB, ADA: high-contrast, no text"
39,Self-Check Q7,"1523_D3_S39_q7.png","Same as Q1.","PNG, 800x400px, <200KB, ADA: high-contrast, no text"
40,Self-Check Q8,"1523_D3_S40_q8.png","Same as Q1.","PNG, 800x400px, <200KB, ADA: high-contrast, no text"
41,Exit Ticket,"1523_D3_S41_exit.png","A clean exit icon: a door with a checkmark, medical-themed. Soft green and blue gradient. High contrast. No text.","PNG, 800x400px, <200KB, ADA: high-contrast, no text"
42,Answer Key Q1-Q4,"1523_D3_S42_answers1.png","A clean answer key icon: a checkmark inside a circle, with a subtle medical cross. Soft green tones. High contrast. No text.","PNG, 800x400px, <200KB, ADA: high-contrast, no text"
43,Answer Key Q5-Q8,"1523_D3_S43_answers2.png","Same as answer key 1.","PNG, 800x400px, <200KB, ADA: high-contrast, no text"
44,Quick Recall Part 1,"1523_D3_S44_recall1.png","A clean memory icon: a brain silhouette with a subtle lightning bolt. Soft gold and blue gradient. High contrast. No text.","PNG, 800x400px, <200KB, ADA: high-contrast, no text"
45,Quick Recall Part 2,"1523_D3_S45_recall2.png","Same as recall part 1.","PNG, 800x400px, <200KB, ADA: high-contrast, no text"
46,Quick Recall Part 3,"1523_D3_S46_recall3.png","Same as recall part 1.","PNG, 800x400px, <200KB, ADA: high-contrast, no text"
47,References,"1523_D3_S47_references.png","A clean books icon: a stack of medical textbooks with a bookmark. Professional academic style. Soft blue gradient. High contrast. No text.","PNG, 800x400px, <200KB, ADA: high-contrast, no text"
