slide_number,slide_title,image_filename,prompt,format_notes
1,Title,"2514_D1_S01_title.png","Professional nursing education banner. A clean medical illustration of a red blood drop with a subtle pregnant silhouette and an emergency symbol, representing obstetric hemorrhage. Soft blue gradient. No text. High contrast.","PNG, 800x400px, <200KB, ADA: high-contrast, no text"
2,How to Use This Deck,"2514_D1_S02_legend.png","A simple color-coded legend icon: three small squares side by side colored red, blue, and tan, with a subtle table grid behind them. Clean white background. No text. Color-blind friendly.","PNG, 800x400px, <200KB, ADA: distinct luminance, no text"
3,Learning Objectives,"2514_D1_S03_objectives.png","A minimalist medical education icon: a target with a graduation cap silhouette in the center, soft teal gradient background. No text. High contrast.","PNG, 800x400px, <200KB, ADA: high-contrast, no text"
4,Bleeding Early vs Late,"2514_D1_S04_bleeding.png","A medical diagram of a pregnant uterus split into two halves: upper half showing early pregnancy structures (embryo, fallopian tube), lower half showing late pregnancy (placenta, fetus). Clean anatomical style. High contrast. White background.","PNG, 800x600px, <200KB, ADA: high-contrast, large labels"
5,Spontaneous Abortion,"2514_D1_S05_abortion.png","A clean medical illustration of the uterus with a subtle embryo, showing early pregnancy loss. Respectful, professional style. Soft blue tones. High contrast. No text.","PNG, 800x500px, <200KB, ADA: high-contrast, no text"
6,Abortion Categories,"2514_D1_S06_abortion-types.png","A clean medical diagram of a uterus with the cervix showing open and closed states, representing the six abortion categories. Professional anatomical style. High contrast. White background.","PNG, 800x600px, <200KB, ADA: high-contrast, large labels"
7,Abortion Nursing Priorities,"2514_D1_S07_abortion-nursing.png","A professional nursing illustration: a nurse providing compassionate care to a patient, with a subtle tissue container and RhoGAM syringe. Empathetic, respectful style. High contrast. No text.","PNG, 800x400px, <200KB, ADA: high-contrast, diverse representation"
8,Ectopic Pregnancy,"2514_D1_S08_ectopic.png","Medical diagram of ectopic pregnancy locations: a fallopian tube with an implanted embryo, showing the most common site (ampullary). Clean anatomical illustration. High contrast. White background.","PNG, 800x600px, <200KB, ADA: high-contrast, large labels"
9,Take Note Ectopic Rupture,"2514_D1_S09_ectopic-rupture.png","A medical warning illustration: a ruptured fallopian tube with blood in the abdominal cavity, and a subtle shoulder pain reference. Professional style. High contrast. White background.","PNG, 800x500px, <200KB, ADA: high-contrast, large labels"
10,GTD Molar Pregnancy,"2514_D1_S10_molar.png","Medical illustration of a hydatidiform mole: a uterus with grape-like clusters of vesicles replacing normal placental tissue. Clean pathological illustration. High contrast. White background.","PNG, 800x600px, <200KB, ADA: high-contrast, large labels"
11,GTD Management,"2514_D1_S11_molar-mgmt.png","A clean medical illustration of hCG monitoring: a blood sample tube with a declining graph line and a calendar showing 6-12 months of contraception. Professional style. High contrast. White background.","PNG, 800x500px, <200KB, ADA: high-contrast, large labels"
12,Cervical Insufficiency,"2514_D1_S12_cervical.png","Medical diagram of cervical cerclage: a purse-string suture around the cervix, reinforcing the internal os. Clean anatomical illustration. High contrast. White background.","PNG, 800x600px, <200KB, ADA: high-contrast, large labels"
13,Previa vs Abruption,"2514_D1_S13_previa-abruption.png","Medical diagram comparing two conditions: left side showing placenta covering the cervical os (previa), right side showing placenta separating from uterine wall (abruption). Clean anatomical style. High contrast. White background.","PNG, 800x600px, <200KB, ADA: high-contrast, large labels"
14,Placenta Previa Key Points,"2514_D1_S14_previa.png","Medical diagram of placenta previa: the placenta covering the internal cervical os, with a red X over a vaginal exam hand. Clean anatomical illustration. High contrast. White background.","PNG, 800x600px, <200KB, ADA: high-contrast, large labels"
15,Placental Abruption Key Points,"2514_D1_S15_abruption.png","Medical diagram of placental abruption: a blood clot behind a partially separated placenta, with a rigid uterus. Clean anatomical illustration. High contrast. White background.","PNG, 800x600px, <200KB, ADA: high-contrast, large labels"
